"BB84 26/06/2024-26/06/2024"

"Card Number","First name","Last Name","Score","Correct","Answered","Alice (impar), sortee un tipo de polarizador y  el bit.  Bob (par), sortee un tipo de polarizador."
"","","","","","","Distribución cuántica de claves"
"","","","","","","https://www.plickers.com/setreport/667c2fa170a7936d12987f79/1223aa69"
"","","","","","","Survey"
"1","Guest 1","","-","0","0","D"
"2","Guest 2","","-","0","0","B"
"3","Guest 3","","-","0","0","D"
"4","Guest 4","","-","0","0","C"
"5","Guest 5","","-","0","0","A"
"6","Guest 6","","-","0","0","B"
"7","Guest 7","","-","0","0","D"
"8","Guest 8","","-","0","0","C"
"9","Guest 9","","-","0","0","B"
"10","Guest 10","","-","0","0","C"
"11","Guest 11","","-","0","0","A"
"12","Guest 12","","-","0","0","B"
"13","Guest 13","","-","0","0","C"
"14","Guest 14","","-","0","0","D"
"15","Guest 15","","-","0","0","B"
"16","Guest 16","","-","0","0","D"
"17","Guest 17","","-","0","0","C"
"18","Guest 18","","-","0","0","B"
"20","Guest 20","","-","0","0","D"
