"BB84 24/06/2025-24/06/2025"

"Card Number","First name","Last Name","Score","Correct","Answered","Alice (impar), sortee un tipo de polarizador y  el bit.  Bob (par), sortee un tipo de polarizador."
"","","","","","","Distribución cuántica de claves"
"","","","","","","https://www.plickers.com/setreport/685ad2c42f6276c9fa8706cb/1223aa69"
"","","","","","","Survey"
"2","Guest 2","","-","0","0","B"
"4","Guest 4","","-","0","0","B"
"6","Guest 6","","-","0","0","A"
"8","Guest 8","","-","0","0","C"
"10","Guest 10","","-","0","0","D"
"12","Guest 12","","-","0","0","C"
"14","Guest 14","","-","0","0","B"
"16","Guest 16","","-","0","0","B"
"23","Guest 23","","-","0","0","C"
"25","Guest 25","","-","0","0","C"
"26","Guest 26","","-","0","0","B"
"27","Guest 27","","-","0","0","B"
"28","Guest 28","","-","0","0","A"
"29","Guest 29","","-","0","0","B"
"39","Guest 39","","-","0","0","B"
"43","Guest 43","","-","0","0","B"
"44","Guest 44","","-","0","0","C"
