"BB84 25/06/2025-25/06/2025"

"Card Number","First name","Last Name","Score","Correct","Answered","Alice (impar), sortee un tipo de polarizador y  el bit.  Bob (par), sortee un tipo de polarizador."
"","","","","","","Distribución cuántica de claves"
"","","","","","","https://www.plickers.com/setreport/685c02db2f6276c9fa2bb4f3/1223aa69"
"","","","","","","Survey"
"2","Guest 2","","-","0","0","A"
"4","Guest 4","","-","0","0","C"
"8","Guest 8","","-","0","0","C"
"10","Guest 10","","-","0","0","D"
"14","Guest 14","","-","0","0","B"
"16","Guest 16","","-","0","0","A"
"25","Guest 25","","-","0","0","B"
"26","Guest 26","","-","0","0","C"
"27","Guest 27","","-","0","0","B"
"28","Guest 28","","-","0","0","B"
"29","Guest 29","","-","0","0","D"
"39","Guest 39","","-","0","0","B"
"43","Guest 43","","-","0","0","C"
"44","Guest 44","","-","0","0","D"
